Team Name,Batter 1,Batter 2,Batter 3,Batter 4,All Rounder 1,All Rounder 2,Wicket Keeper,Bowler 1,Bowler 2,Bowler 3,Bowler 4,Captain,Submission Time,Status,Number
Mumbai Indians,V Kohli - Royal Challengers Bangalore,DA Miller - Gujarat Titans,YBK Jaiswal - Rajasthan Royals,RG Sharma - Mumbai Indians,GJ Maxwell - Royal Challengers Bangalore,HH Pandya - Mumbai Indians,DC Jurel - Rajasthan Royals,TA Boult - Rajasthan Royals,G Coetzee - Mumbai Indians,PJ Cummins - Sunrisers Hyderabad,JJ Bumrah - Mumbai Indians,PJ Cummins - Sunrisers Hyderabad,19/3/2024 17:29,Confirmed,3
Lizards,KS Williamson - Gujarat Titans,V Kohli - Royal Challengers Bangalore,F du Plessis - Royal Challengers Bangalore,AK Markram - Sunrisers Hyderabad,SM Curran - Punjab Kings,LS Livingstone - Punjab Kings,JM Bairstow - Punjab Kings,A Nortje - Delhi Capitals,Prince Choudhary - Punjab Kings,JB Little - Gujarat Titans,Mukesh Choudhary - Chennai Super Kings,JM Bairstow - Punjab Kings,19/3/2024 17:32,Confirmed,3
underdogs,Shubman Gill - Gujarat Titans,DA Warner - Delhi Capitals,RD Gaikwad - Chennai Super Kings,RG Sharma - Mumbai Indians,HH Pandya - Mumbai Indians,GJ Maxwell - Royal Challengers Bangalore,KL Rahul - Lucknow Super Giants,Arshdeep Singh - Punjab Kings,JJ Bumrah - Mumbai Indians,SN Thakur - Chennai Super Kings,RD Chahar - Punjab Kings,Shubman Gill - Gujarat Titans,19/3/2024 17:32,Confirmed,3
DM 11,V Kohli - Royal Challengers Bangalore,TH David - Mumbai Indians,DA Warner - Delhi Capitals,RG Sharma - Mumbai Indians,AD Russell - Kolkata Knight Riders,HH Pandya - Mumbai Indians,KD Karthik - Royal Challengers Bangalore,Naman Dhir - Mumbai Indians,Mohammed Siraj - Royal Challengers Bangalore,B Kumar - Sunrisers Hyderabad,YS Chahal - Rajasthan Royals,V Kohli - Royal Challengers Bangalore,19/3/2024 17:37,Confirmed,3
the_king_11,V Kohli - Royal Challengers Bangalore,RM Patidar - Royal Challengers Bangalore,RD Gaikwad - Chennai Super Kings,S Dhawan - Punjab Kings,NT Tilak Varma - Mumbai Indians,R Ravindra - Chennai Super Kings,SV Samson - Rajasthan Royals,SN Thakur - Chennai Super Kings,Mohammed Siraj - Royal Challengers Bangalore,JJ Bumrah - Mumbai Indians,TA Boult - Rajasthan Royals,RD Gaikwad - Chennai Super Kings,19/3/2024 17:46,Confirmed,3
Super Kings,YBK Jaiswal - Rajasthan Royals,RD Gaikwad - Chennai Super Kings,Shubman Gill - Gujarat Titans,V Kohli - Royal Challengers Bangalore,RA Jadeja - Chennai Super Kings,Rashid Khan - Gujarat Titans,MS Dhoni - Chennai Super Kings,JJ Bumrah - Mumbai Indians,MA Starc - Kolkata Knight Riders,PJ Cummins - Sunrisers Hyderabad,Mohammed Siraj - Royal Challengers Bangalore,MS Dhoni - Chennai Super Kings,19/3/2024 17:48,Confirmed,3
JJ24,V Kohli - Royal Challengers Bangalore,DA Warner - Delhi Capitals,SA Yadav - Mumbai Indians,RG Sharma - Mumbai Indians,HH Pandya - Mumbai Indians,Rashid Khan - Gujarat Titans,KL Rahul - Lucknow Super Giants,JJ Bumrah - Mumbai Indians,MA Starc - Kolkata Knight Riders,Ravi Bishnoi - Lucknow Super Giants,PJ Cummins - Sunrisers Hyderabad,V Kohli - Royal Challengers Bangalore,19/3/2024 18:06,Confirmed,3
Nik11,Shubman Gill - Gujarat Titans,TM Head - Sunrisers Hyderabad,RK Singh - Kolkata Knight Riders,V Kohli - Royal Challengers Bangalore,Rashid Khan - Gujarat Titans,S Dube - Chennai Super Kings,KL Rahul - Lucknow Super Giants,YS Chahal - Rajasthan Royals,Umran Malik - Sunrisers Hyderabad,JJ Bumrah - Mumbai Indians,Mohammed Siraj - Royal Challengers Bangalore,V Kohli - Royal Challengers Bangalore,19/3/2024 18:12,Confirmed,3
MyFirstDreamTeam,YBK Jaiswal - Rajasthan Royals,RK Singh - Kolkata Knight Riders,M Shahrukh Khan - Gujarat Titans,D Padikkal - Lucknow Super Giants,R Ravindra - Chennai Super Kings,Rashid Khan - Gujarat Titans,RR Pant - Delhi Capitals,JJ Bumrah - Mumbai Indians,DL Chahar - Chennai Super Kings,B Kumar - Sunrisers Hyderabad,G Coetzee - Mumbai Indians,YBK Jaiswal - Rajasthan Royals,19/3/2024 20:45,Confirmed,3
Unknown11,YBK Jaiswal - Rajasthan Royals,RD Gaikwad - Chennai Super Kings,Shubman Gill - Gujarat Titans,V Kohli - Royal Challengers Bangalore,R Ravindra - Chennai Super Kings,MR Marsh - Delhi Capitals,H Klaasen - Sunrisers Hyderabad,Ravi Bishnoi - Lucknow Super Giants,JJ Bumrah - Mumbai Indians,PJ Cummins - Sunrisers Hyderabad,MA Starc - Kolkata Knight Riders,H Klaasen - Sunrisers Hyderabad,19/3/2024 23:02,Confirmed,3
Godzilla_XI,Shubman Gill - Gujarat Titans,RG Sharma - Mumbai Indians,V Kohli - Royal Challengers Bengaluru,YBK Jaiswal - Rajasthan Royals,AD Russell - Kolkata Knight Riders,Rashid Khan - Gujarat Titans,KL Rahul - Lucknow Super Giants,YS Chahal - Rajasthan Royals,Ravi Bishnoi - Lucknow Super Giants,JJ Bumrah - Mumbai Indians,Arshdeep Singh - Punjab Kings,Shubman Gill - Gujarat Titans,20/3/2024 09:04,Confirmed,3
Shivays 11,V Kohli - Royal Challengers Bengaluru,RG Sharma - Mumbai Indians,YBK Jaiswal - Rajasthan Royals,Shubman Gill - Gujarat Titans,GJ Maxwell - Royal Challengers Bengaluru,Rashid Khan - Gujarat Titans,Ishan Kishan - Mumbai Indians,JJ Bumrah - Mumbai Indians,MA Starc - Kolkata Knight Riders,TA Boult - Rajasthan Royals,A Zampa - Rajasthan Royals,YBK Jaiswal - Rajasthan Royals,20/3/2024 09:40,Confirmed,3
YS11,V Kohli - Royal Challengers Bengaluru,RD Gaikwad - Chennai Super Kings,DA Warner - Delhi Capitals,YBK Jaiswal - Rajasthan Royals,RA Jadeja - Chennai Super Kings,GJ Maxwell - Royal Challengers Bengaluru,JC Buttler - Rajasthan Royals,YS Chahal - Rajasthan Royals,PJ Cummins - Sunrisers Hyderabad,DL Chahar - Chennai Super Kings,JJ Bumrah - Mumbai Indians,V Kohli - Royal Challengers Bengaluru,20/3/2024 09:50,Confirmed,3